trial,severity,mse,active_ingredient,year,spray,location,state
162,2.6,20.24685,pyra_epox,2010,3,ENTRE RIOS,PR
65,2.6,1.31913,azox_cypr,2007,2,GUARAPUAVA,PR
87,2.6,14.86689,tebu,2008,NA,SÃO DESIDÉRIO,BA
90,2.6,3.94954,pico_cypr,2009,3,TANGARÁ DA SERRA,MT
90,2.6,3.94954,azox_cypr,2009,3,TANGARÁ DA SERRA,MT
162,2.6,20.24685,azox_cypr,2010,3,ENTRE RIOS,PR
183,2.6,16.55883,pyra_epox,2011,2,LONDRINA,PR
216,2.6,21.61276,azox_cypr,2013,2,PRIMAVERA DO LESTE,MT
119,2.7,2.8757,azox_cypr,2009,3,ENTRE RIOS,PR
127,2.7,5.48432,trif_prot,2009,2,RIO VERDE,GO
212,2.7,0.10999,azox,2013,3,SANTO ANTONIO DE GOIAS,GO
5,2.8,7.39678,azox_cypr,2005,2,RONDONÓPOLIS,MT
26,2.8,303.11364,cypr,2006,2,UBERABA,MG
161,2.8,10.64645,pico_cypr,2010,2,LONDRINA,PR
189,2.8,2.98095,pyra_epox,2011,2,PASSO FUNDO,RS
200,2.8,4.01285,azox,2012,2,LONDRINA,PR
207,2.8,0.32639,azox_cypr,2012,2,GUARAPUAVA,PR
119,2.8,2.8757,pyra_metc,2009,3,ENTRE RIOS,PR
116,2.8,1.52843,trif_prot,2009,2,PONTA PORÃ,MS
125,2.8,2.18833,azox_cypr,2009,3,LONDRINA,PR
185,2.8,32.22233,trif_prot,2011,2,MAFRA,SC
218,2.9,0.76971,pyra_epox,2013,2,DOURADOS,MS
114,2.9,0.20099,azox_cypr,2009,3,TANGARÁ DA SERRA,MT
80,2.9,3.81511,azox_cypr,2008,2,MARILÂNDIA DO SUL,PR
50,2.9,2.66533,cypr,2007,2,ALVORADA,TO
184,3,24.19623,trif_prot,2011,2,MAFRA,SC
164,3,118.85658,azox_cypr,2010,2,UBERABA,MG
200,3,4.01285,pyra_epox,2012,2,LONDRINA,PR
107,3,16.49676,pico_cypr,2009,2,PLANALTINA,DF
166,3.1,0.18811,pico_cypr,2010,2,ITAARA,RS
78,3.2,2.17532,tebu,2008,2,TAMARANA,PR
153,3.2,11.25348,pico_cypr,2010,3,PASSO FUNDO,RS
80,3.2,3.81511,pico_cypr,2008,2,MARILÂNDIA DO SUL,PR
153,3.2,11.25348,azox_cypr,2010,3,PASSO FUNDO,RS
218,3.2,0.76971,azox,2013,2,DOURADOS,MS
65,3.3,1.31913,pyra_epox,2007,2,GUARAPUAVA,PR
90,3.3,3.94954,pyra_epox,2009,3,TANGARÁ DA SERRA,MT
169,3.3,2.76496,pico_cypr,2010,2,CRUZ ALTA,RS
179,3.3,6.71692,tebu,2011,2,PEDRA PRETA,MT
202,3.3,9.90909,cypr,2012,2,MAFRA,SC
47,3.3,52.53432,tebu,2007,2,UBERABA,MG
137,3.3,16.9716,trif_prot,2009,2,JATAÍ,GO
107,3.4,16.49676,pyra_epox,2009,2,PLANALTINA,DF
103,3.4,27.17641,pico_cypr,2009,3,UBERABA,MG
125,3.4,2.18833,pyra_metc,2009,3,LONDRINA,PR
